brewery,address,city,type,url
, ,",  ",Type: Planning,
 Norfork Brewing Company, ,"Norfork, AR 72658-9630",Type: Planning,
 The Beer'd Brewing Company,22 Bayview Ave Ste 15 ,"Stonington, CT 06378-1143 | Map",Type: Micro,http://www.beerdbrewing.com
(405) Brewing Co,1716 Topeka St ,"Norman, OK 73069-8224 | Map",Type: Micro,http://www.405brewing.com
(512) Brewing Co,407 Radam Ln Ste F200 ,"Austin, TX 78745-1197 | Map",Type: Micro,http://www.512brewing.com
10 Barrel Brewing Co,62970 18th St ,"Bend, OR 97701-9847 | Map",Type: Large,http://www.10barrel.com
10 Barrel Brewing Co,830 W Bannock St ,"Boise, ID 83702-5857 | Map",Type: Large,http://www.10barrel.com
10 Barrel Brewing Co,1411 NW Flanders St ,"Portland, OR 97209-2620 | Map",Type: Large,http://www.10barrel.com
10 Barrel Brewing Co,1501 E St ,"San Diego, CA 92101-6618 | Map",Type: Large,http://10barrel.com
10 Barrel Brewing Co,1135 NW Galveston Ave Ste B ,"Bend, OR 97703-2465 | Map",Type: Large,
10 Barrel Brewing Co - Bend Pub,62950 NE 18th St ,"Bend, OR 97701 | Map",Type: Large,
10 Barrel Brewing Co - Denver,2620 Walnut St ,"Denver, CO 80205-2231 | Map",Type: Large,
101 Brewery,294793 US Highway 101 ,"Quilcene, WA 98376-9000 | Map",Type: Brewpub,http://www.101brewery.com
101 North Brewing Company,1304 Scott St Ste D ,"Petaluma, CA 94954-7100 | Map",Type: Micro,http://www.101northbeer.com
105 West Brewing Co,1043 Park St ,"Castle Rock, CO 80109-1585 | Map",Type: Micro,http://www.105westbrewing.com
10K Brewing,2005 2nd Ave ,"Anoka, MN 55303-2243 | Map",Type: Micro,http://10KBrew.com
10th District Brewing Company,491 Washington St ,"Abington, MA 02351-2419 | Map",Type: Micro,http://www.10thdistrictbrewing.com
11 Below Brewing Company,6820 Bourgeois Rd ,"Houston, TX 77066-3107 | Map",Type: Micro,http://www.11belowbrewing.com
1188 Brewing Co,141 E Main St ,"John Day, OR 97845-1210 | Map",Type: Brewpub,http://www.1188brewing.com
12 Gates Brewing Company,80 Earhart Dr Ste 20 ,"Williamsville, NY 14221-7804 | Map",Type: Micro,http://www.12gatesbrewing.com
12 West Brewing Company,3000 E Ray Rd Bldg 6 ,"Gilbert, AZ 85296-7832 | Map",Type: Micro,http://www.12westbrewing.com
12 West Brewing Company - Production Facility, ,"Mesa, AZ 85207",Type: Micro,
127 Brewing,3090 Shirley Dr ,"Jackson, MI 49201-7010 | Map",Type: Micro,
12Degree Brewing,820 Main St ,"Louisville, CO 80027-1865 | Map",Type: Brewpub,http://www.12degree.com
12welve Eyes Brewing,141 4th St E Ste LL2 ,"Saint Paul, MN 55101-1639 | Map",Type: Micro,http://www.12welveEyes.com
13 Below Brewery,7391 Forbes Rd ,"Cincinnati, OH 45233-1013 | Map",Type: Micro,http://www.13belowbrewery.com
13 Stripes Brewery,"250 Mill St, Suite PW3101 ","Taylors, SC 29687 | Map",Type: Brewpub,http://www.13StripesBrewery.com
13 Virtues Brewing Co,6410 SE Milwaukie Ave ,"Portland, OR 97202-5518 | Map",Type: Brewpub,http://www.13virtuesbrewing.com
1323 R & D,1323 Capital Blvd 1323 R and D,"Raleigh, NC 27603-1117 | Map",Type: Micro,http://www.1323rnd.com
14 Cannons Brewing Company,31125 Via Colinas Ste 907 ,"Westlake Village, CA 91362-3974 | Map",Type: Micro,http://14cannons.com
14 Lakes Brewery,36846 County Hwy 66 ,"Crosslake, MN 56442 | Map",Type: Micro,
1487 Brewery,8480 Jersey Mill Rd ,"Alexandria, OH 43001-9790 | Map",Type: Micro,
14er Brewing Company,2801 Walnut St ,"Denver, CO 80205-2235 | Map",Type: Proprietor,http://www.14erBrewing.com
14th Star Brewing,133 N Main St Ste 7 ,"Saint Albans, VT 05478-1735 | Map",Type: Micro,http://www.14thstarbrewing.com
16 Lots Brewing,753 Reading Rd ,"Mason, OH 45040-1303 | Map",Type: Brewpub,http://www.16lots.com
16 Mile Brewing Co,413 S Bedford St ,"Georgetown, DE 19947-1849 | Map",Type: Micro,http://www.16milebrewery.com
16 Stone Brewpub,9542 Main St ,"Holland Patent, NY 13354 | Map",Type: Brewpub,http://www.16stonebrewpub.com
1718 Ocracoke Brewing,1129 Irvin Garrish Hwy ,"Ocracoke, NC 27960 | Map",Type: Brewpub,http://www.ocracokebrewing.com
1781 Brewing Company,11109 Plank Rd ,"Spotsylvania, VA 22553-4258 | Map",Type: Micro,
17th State Brewing Company, ,"Cleveland, OH ",Type: Contract,http://www.17statebrewco.com
180 and Tapped,2010 A State Ave ,"Coraopolis, PA 15108 | Map",Type: Micro,http://www.180andtapped.com
1817 Brewery,100 B South Olive St ,"okolona, MS 38860 | Map",Type: Micro,
1840 Brewing Company,342 E Ward St ,"Milwaukee, WI 53207-1348 | Map",Type: Micro,http://www.1840brewing.com
1850 Brewing Company, ,"Mariposa, CA 95338",Type: Micro,http://www.1850restaurant.com
